# algorithm, samples, car_total_laps, laptime_mean(s),  collision_count, mean_control_effort
mppi, 4096, 100, 3.5305, 1020, 0.00160
mppi, 2048, 100, 3.5455, 1072, 0.00193
mppi, 1024, 100, 3.5471, 1103, 0.00227
mppi, 512, 100, 3.5574, 1160, 0.00270
mppi, 256, 100, 3.5917, 1272, 0.00333
mppi, 128, 100, 3.6477, 1441, 0.00367
ccmppi, 4096, 100, 3.5610, 1066, 0.00181
ccmppi, 2048, 100, 3.5695, 1067, 0.00208
ccmppi, 1024, 100, 3.5867, 1111, 0.00242
ccmppi, 512, 100, 3.6055, 1177, 0.00269
ccmppi, 256, 100, 3.6410, 1396, 0.00337
ccmppi, 128, 100, 3.7865, 1668, 0.00371
