# algorithm, samples, car_total_laps, laptime_mean(s),  collision_count, mean_control_effort
mppi, 4096, 100, 3.9750, 446, 0.00118
mppi, 2048, 100, 3.9289, 465, 0.00140
mppi, 1024, 100, 3.9180, 475, 0.00167
mppi, 512, 100, 3.9204, 563, 0.00202
mppi, 256, 100, 4.1414, 788, 0.00245
mppi, 128, 100, 4.3040, 1056, 0.00287
ccmppi, 4096, 100, 3.8788, 410, 0.00133
ccmppi, 2048, 100, 3.7772, 449, 0.00149
ccmppi, 1024, 100, 3.9152, 537, 0.00168
ccmppi, 512, 100, 4.7004, 765, 0.00179
ccmppi, 256, 100, 6.4254, 848, 0.00065
