# algorithm, samples, car_total_laps, laptime_mean(s),  collision_count, mean_control_effort
mppi, 4096, 100, 3.5420, 1021, 0.01577
mppi, 2048, 100, 3.5461, 1072, 0.01889
mppi, 1024, 100, 3.5531, 1096, 0.02258
mppi, 512, 100, 3.5653, 1167, 0.02684
mppi, 256, 100, 3.5986, 1253, 0.03311
mppi, 128, 100, 3.6511, 1424, 0.03660
ccmppi, 4096, 100, 3.5612, 1053, 0.01768
ccmppi, 2048, 100, 3.5655, 1114, 0.02077
ccmppi, 1024, 100, 3.5877, 1105, 0.02407
ccmppi, 512, 100, 3.6020, 1190, 0.02702
ccmppi, 256, 100, 3.6758, 1406, 0.03288
ccmppi, 128, 100, 3.8051, 1731, 0.03697
